               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058182,            0.025386,            0.057961,            0.080685,             0.35938,             0.12846,            0.071599,             0.02197,           0.0088888,            0.036857,             0.00213,             0.00213,             0.08083
                   1,            0.038148,            0.016655,            0.049944,             0.16252,              0.4421,             0.23363,             0.12384,            0.023637,           0.0061352,             0.03318,           0.0042692,           0.0042692,            0.061569
                   2,            0.037901,            0.014949,              0.0458,             0.32871,             0.54709,             0.37818,             0.21764,             0.01709,           0.0054662,            0.026337,           0.0064049,           0.0064049,            0.042305
                   3,            0.037661,            0.014393,            0.041295,             0.46514,             0.40866,             0.35877,              0.1803,            0.025451,           0.0064248,            0.023195,           0.0085348,           0.0085348,            0.023035
                   4,             0.03957,            0.015318,            0.040694,             0.61921,             0.32697,              0.2711,             0.12072,            0.024349,            0.006489,            0.021207,           0.0099685,           0.0099685,           0.0099685
                   5,            0.036505,            0.015188,            0.036466,             0.30464,             0.58823,             0.44588,             0.23589,            0.021841,            0.005705,            0.020514,           0.0099685,           0.0099685,           0.0099685
                   6,             0.03299,            0.015007,            0.033574,             0.49695,             0.63622,             0.64423,             0.36897,            0.017099,           0.0051864,            0.013346,           0.0099508,           0.0099508,           0.0099508
                   7,            0.033707,            0.013982,            0.031777,             0.57419,             0.71112,             0.68334,             0.39098,            0.018306,           0.0052428,             0.01254,           0.0099291,           0.0099291,           0.0099291
                   8,            0.032058,            0.014231,            0.029005,             0.60092,             0.70068,              0.7049,             0.38825,            0.018797,            0.005331,            0.010578,           0.0099037,           0.0099037,           0.0099037
                   9,            0.032248,            0.014484,            0.029635,             0.54773,             0.73147,             0.65485,             0.37967,            0.016494,           0.0054756,            0.012756,           0.0098743,           0.0098743,           0.0098743
                  10,            0.030119,            0.014037,            0.027036,              0.6809,             0.66739,             0.70897,             0.44142,             0.01706,           0.0049212,            0.012187,           0.0098412,           0.0098412,           0.0098412
                  11,              0.0283,             0.01401,            0.025563,             0.71197,              0.7872,             0.79858,             0.52364,            0.014261,           0.0044071,           0.0097662,           0.0098042,           0.0098042,           0.0098042
                  12,            0.028081,            0.013842,            0.025384,             0.69458,             0.79169,             0.80922,             0.52525,            0.015123,           0.0045372,           0.0086626,           0.0097635,           0.0097635,           0.0097635
                  13,            0.030971,            0.013609,            0.023737,             0.74888,             0.80295,             0.83552,             0.55907,            0.014421,           0.0044344,           0.0082408,           0.0097191,           0.0097191,           0.0097191
                  14,            0.029554,            0.013652,            0.025081,             0.75121,             0.79181,             0.82494,             0.52345,            0.015191,           0.0045431,           0.0087891,            0.009671,            0.009671,            0.009671
                  15,             0.02972,            0.013881,            0.024496,             0.69333,             0.75897,             0.75977,             0.48802,            0.015361,           0.0046035,            0.011149,           0.0096193,           0.0096193,           0.0096193
                  16,            0.027784,            0.013523,            0.023449,             0.81177,             0.81888,             0.90302,              0.5671,            0.015142,           0.0042184,           0.0069454,            0.009564,            0.009564,            0.009564
                  17,            0.027772,            0.013298,            0.021616,             0.78345,             0.85565,             0.90977,             0.58773,            0.014394,           0.0042305,           0.0059522,           0.0095052,           0.0095052,           0.0095052
                  18,            0.029172,            0.013184,            0.021853,             0.70839,             0.67751,             0.74391,             0.49772,            0.016023,           0.0049284,             0.01346,            0.009443,            0.009443,            0.009443
                  19,            0.026746,            0.012883,            0.019276,             0.83178,             0.84775,             0.91226,             0.65135,            0.013152,           0.0040367,           0.0054365,           0.0093773,           0.0093773,           0.0093773
                  20,             0.02612,            0.012443,            0.017927,             0.85376,             0.87327,              0.9438,             0.70024,             0.01306,           0.0037943,           0.0041548,           0.0093083,           0.0093083,           0.0093083
                  21,            0.025653,            0.012751,            0.017199,             0.83958,             0.90468,             0.94825,             0.67525,            0.012434,           0.0037193,           0.0047003,           0.0092361,           0.0092361,           0.0092361
                  22,            0.025362,            0.012363,             0.01766,             0.87201,             0.91915,             0.95435,             0.67612,            0.013717,           0.0035858,           0.0037726,           0.0091606,           0.0091606,           0.0091606
                  23,            0.025791,            0.012403,            0.016498,             0.87951,             0.90699,             0.95203,             0.67582,             0.01275,           0.0036061,            0.004534,           0.0090821,           0.0090821,           0.0090821
                  24,            0.024884,            0.012251,            0.016521,             0.88524,             0.88245,             0.93751,             0.69318,            0.012407,           0.0037777,           0.0041824,           0.0090004,           0.0090004,           0.0090004
                  25,            0.025527,            0.012522,            0.018666,             0.90232,             0.87936,             0.94046,             0.65886,            0.013022,           0.0038814,           0.0033937,           0.0089159,           0.0089159,           0.0089159
                  26,            0.026266,            0.012411,            0.018888,             0.80354,             0.79271,             0.86624,             0.61037,            0.013183,           0.0042804,           0.0077091,           0.0088284,           0.0088284,           0.0088284
                  27,            0.024791,            0.012204,            0.017322,             0.88635,             0.95405,             0.96522,             0.70657,            0.012025,           0.0035205,           0.0029051,           0.0087382,           0.0087382,           0.0087382
                  28,            0.022688,            0.012335,             0.01508,             0.90359,              0.9541,             0.97562,             0.73562,            0.011728,           0.0034584,           0.0024207,           0.0086452,           0.0086452,           0.0086452
                  29,            0.025916,            0.011819,            0.015661,             0.90674,             0.95224,              0.9673,             0.72267,            0.011431,           0.0033826,            0.003194,           0.0085497,           0.0085497,           0.0085497
                  30,            0.023808,            0.011842,            0.014681,             0.92744,             0.93893,             0.95899,             0.72939,            0.011904,           0.0032988,           0.0019853,           0.0084516,           0.0084516,           0.0084516
                  31,            0.022963,            0.011673,            0.013702,             0.93552,             0.90614,             0.96336,             0.72752,            0.010817,           0.0035574,            0.003054,           0.0083511,           0.0083511,           0.0083511
                  32,             0.02332,            0.011702,            0.013755,             0.93333,             0.92979,             0.98014,             0.75244,            0.011003,           0.0032837,           0.0020958,           0.0082483,           0.0082483,           0.0082483
                  33,            0.023953,            0.011878,            0.014103,             0.92989,             0.94915,             0.96887,             0.71871,            0.011935,           0.0034182,           0.0021425,           0.0081433,           0.0081433,           0.0081433
                  34,            0.022408,            0.011606,            0.012049,             0.93812,             0.94287,              0.9764,             0.76754,            0.010556,           0.0031822,           0.0017335,           0.0080362,           0.0080362,           0.0080362
                  35,            0.022475,            0.011395,            0.012188,             0.95478,             0.95498,             0.98232,              0.7828,            0.010526,           0.0031537,           0.0017788,            0.007927,            0.007927,            0.007927
                  36,            0.022957,            0.011633,            0.013361,             0.94096,             0.94309,             0.97297,             0.73291,             0.01124,           0.0033672,           0.0017186,            0.007816,            0.007816,            0.007816
                  37,            0.021564,            0.011221,            0.010116,              0.9338,             0.96271,             0.97993,             0.75874,            0.010769,           0.0031096,           0.0020044,           0.0077031,           0.0077031,           0.0077031
                  38,            0.022489,            0.010827,            0.010859,             0.94069,             0.97639,             0.98445,             0.76533,           0.0099817,           0.0031001,           0.0012746,           0.0075886,           0.0075886,           0.0075886
                  39,             0.02245,            0.011083,             0.01057,             0.92477,             0.97187,             0.97965,             0.79043,           0.0099027,           0.0029013,           0.0014422,           0.0074725,           0.0074725,           0.0074725
                  40,             0.02159,            0.010831,            0.011002,             0.93964,             0.97057,             0.97682,             0.77167,            0.010151,           0.0030737,           0.0013076,            0.007355,            0.007355,            0.007355
                  41,            0.021723,            0.010817,            0.010079,             0.95071,             0.97584,              0.9856,             0.79174,           0.0098682,            0.002911,           0.0013009,           0.0072361,           0.0072361,           0.0072361
                  42,            0.020837,            0.010994,            0.010461,             0.95154,             0.94972,             0.98197,             0.78089,           0.0099415,           0.0029887,           0.0016533,            0.007116,            0.007116,            0.007116
                  43,            0.020705,            0.010984,             0.01064,             0.92595,              0.9729,             0.98471,             0.78117,            0.010023,           0.0030457,           0.0022234,           0.0069948,           0.0069948,           0.0069948
                  44,            0.021324,            0.011421,            0.012159,             0.90462,             0.96253,             0.97041,             0.74895,           0.0097429,           0.0031142,           0.0015316,           0.0068726,           0.0068726,           0.0068726
                  45,            0.021137,            0.011028,            0.010522,             0.96863,             0.96906,             0.98947,             0.80435,            0.010041,           0.0028972,           0.0012049,           0.0067495,           0.0067495,           0.0067495
                  46,            0.022329,            0.011033,            0.010328,             0.92322,             0.95106,             0.96463,             0.79135,             0.01012,           0.0028248,           0.0011267,           0.0066257,           0.0066257,           0.0066257
                  47,            0.020528,             0.01068,             0.01012,             0.93612,             0.97682,             0.98689,             0.81263,           0.0086837,           0.0028681,           0.0012672,           0.0065013,           0.0065013,           0.0065013
                  48,            0.020649,            0.010614,           0.0088835,             0.95416,             0.97679,             0.98605,             0.78839,           0.0095202,           0.0029854,           0.0011504,           0.0063764,           0.0063764,           0.0063764
                  49,            0.020056,            0.010684,            0.010605,             0.96466,             0.97305,             0.98709,              0.8029,            0.009041,           0.0028672,           0.0010988,           0.0062512,           0.0062512,           0.0062512
                  50,            0.019819,             0.01068,           0.0092377,             0.93361,             0.98289,             0.97859,              0.8044,           0.0094621,            0.002757,          0.00095146,           0.0061256,           0.0061256,           0.0061256
                  51,            0.019731,             0.01046,           0.0092414,             0.95114,             0.98753,             0.98671,             0.81467,           0.0093258,           0.0028243,           0.0010724,               0.006,               0.006,               0.006
                  52,             0.02014,            0.010599,           0.0094544,             0.93927,             0.97237,               0.987,             0.81992,           0.0089751,           0.0028347,           0.0010993,           0.0058744,           0.0058744,           0.0058744
                  53,            0.020225,             0.01069,            0.010656,             0.95289,             0.96872,             0.98308,             0.81533,           0.0095617,           0.0029647,           0.0011026,           0.0057488,           0.0057488,           0.0057488
                  54,            0.020054,            0.010356,           0.0082835,             0.92658,             0.98668,             0.97313,             0.81779,           0.0089013,            0.002691,          0.00094909,           0.0056236,           0.0056236,           0.0056236
                  55,            0.019554,            0.010308,           0.0079266,             0.95586,             0.98594,              0.9855,              0.8341,           0.0086743,            0.002742,           0.0010253,           0.0054987,           0.0054987,           0.0054987
                  56,            0.019785,            0.010071,           0.0098616,             0.95485,             0.98667,             0.98561,             0.82404,           0.0086344,           0.0027184,          0.00083099,           0.0053743,           0.0053743,           0.0053743
                  57,            0.019274,            0.010276,           0.0089148,             0.97012,             0.99207,             0.98489,             0.82646,           0.0084735,           0.0026816,           0.0009112,           0.0052505,           0.0052505,           0.0052505
                  58,            0.019443,            0.010377,           0.0089909,              0.9598,             0.98695,             0.98666,             0.81007,           0.0089532,           0.0027177,          0.00081805,           0.0051274,           0.0051274,           0.0051274
                  59,            0.018703,            0.010541,           0.0083223,             0.95432,             0.98359,             0.98394,             0.82975,           0.0085875,           0.0027725,          0.00088129,           0.0050052,           0.0050052,           0.0050052
                  60,            0.018911,            0.010308,           0.0084404,             0.96377,             0.98654,             0.98505,             0.82326,           0.0081982,            0.002755,           0.0007942,            0.004884,            0.004884,            0.004884
                  61,            0.018597,            0.010246,           0.0085362,             0.95059,             0.97472,             0.98177,             0.83401,            0.008348,           0.0026813,          0.00084693,           0.0047639,           0.0047639,           0.0047639
                  62,            0.019528,              0.0101,           0.0088792,              0.9243,             0.98667,             0.97263,             0.82625,           0.0085469,           0.0027231,           0.0008108,            0.004645,            0.004645,            0.004645
                  63,            0.018585,            0.010063,            0.007862,             0.95294,             0.98728,             0.98968,             0.82665,           0.0081418,           0.0026955,          0.00068684,           0.0045275,           0.0045275,           0.0045275
                  64,            0.017667,           0.0098517,           0.0066762,             0.94214,             0.99366,             0.98679,             0.84377,           0.0082497,           0.0025563,          0.00070737,           0.0044114,           0.0044114,           0.0044114
                  65,            0.017923,           0.0097155,           0.0075008,             0.95436,             0.98261,             0.98446,             0.85093,           0.0076458,           0.0025747,          0.00069753,           0.0042969,           0.0042969,           0.0042969
                  66,            0.017535,           0.0096494,           0.0067124,              0.9393,             0.97782,             0.97445,             0.83661,           0.0084561,           0.0025594,           0.0006958,            0.004184,            0.004184,            0.004184
                  67,            0.017436,           0.0095604,           0.0065068,             0.96603,             0.97935,             0.98463,             0.85127,           0.0075004,           0.0025531,          0.00063731,            0.004073,            0.004073,            0.004073
                  68,            0.017449,           0.0096734,            0.006429,               0.942,             0.98346,             0.98479,             0.83895,            0.007997,            0.002558,           0.0013129,           0.0039638,           0.0039638,           0.0039638
                  69,            0.018122,           0.0097236,           0.0080359,             0.95305,             0.98516,             0.98587,             0.84072,           0.0079521,           0.0026179,          0.00074992,           0.0038567,           0.0038567,           0.0038567
                  70,            0.017854,           0.0097459,             0.00639,             0.95738,             0.98484,             0.98416,             0.84082,           0.0075735,           0.0025316,          0.00068084,           0.0037517,           0.0037517,           0.0037517
                  71,             0.01849,           0.0097995,           0.0061054,             0.95156,             0.98452,             0.99054,              0.8445,           0.0080224,           0.0025039,          0.00068604,           0.0036489,           0.0036489,           0.0036489
                  72,             0.01682,           0.0094489,           0.0052386,             0.97166,             0.98488,             0.99125,             0.86512,           0.0071136,           0.0024381,          0.00056585,           0.0035484,           0.0035484,           0.0035484
                  73,            0.017222,           0.0095686,           0.0061493,             0.95781,             0.99034,             0.99023,              0.8593,           0.0071312,           0.0024042,          0.00058624,           0.0034503,           0.0034503,           0.0034503
                  74,            0.016549,           0.0096907,           0.0056414,             0.96306,             0.99119,             0.98812,             0.86609,           0.0071677,           0.0023821,          0.00054407,           0.0033548,           0.0033548,           0.0033548
                  75,            0.016905,           0.0095008,           0.0063992,             0.96848,              0.9886,             0.98743,             0.85975,           0.0070405,           0.0024155,          0.00057423,           0.0032618,           0.0032618,           0.0032618
                  76,            0.016191,           0.0093652,           0.0050025,             0.95538,             0.99508,                0.99,             0.86567,           0.0071266,           0.0024096,          0.00050174,           0.0031716,           0.0031716,           0.0031716
                  77,            0.015977,           0.0091738,             0.00563,              0.9804,             0.98734,             0.99273,             0.87112,           0.0072622,           0.0023239,          0.00051772,           0.0030841,           0.0030841,           0.0030841
                  78,            0.016597,           0.0092742,           0.0052545,             0.96803,             0.98296,              0.9892,             0.86319,           0.0070436,           0.0024086,          0.00053603,           0.0029996,           0.0029996,           0.0029996
                  79,            0.016571,           0.0093162,           0.0054462,             0.95968,             0.99053,             0.98779,             0.86291,           0.0069472,           0.0024013,          0.00046286,           0.0029179,           0.0029179,           0.0029179
                  80,             0.01562,           0.0092158,           0.0059636,             0.97512,             0.98768,             0.99046,             0.87195,           0.0069914,           0.0023771,          0.00050618,           0.0028394,           0.0028394,           0.0028394
                  81,            0.015901,           0.0086626,           0.0055176,              0.9766,             0.98622,             0.98903,             0.87357,           0.0066612,           0.0023253,           0.0005138,           0.0027639,           0.0027639,           0.0027639
                  82,            0.015232,           0.0091452,           0.0042673,             0.96464,             0.99245,             0.98915,              0.8679,           0.0069283,           0.0023675,          0.00048376,           0.0026917,           0.0026917,           0.0026917
                  83,            0.016114,           0.0091627,           0.0047585,             0.96615,             0.98168,             0.98798,             0.87494,           0.0069218,           0.0023115,          0.00050212,           0.0026227,           0.0026227,           0.0026227
                  84,            0.016176,           0.0089015,            0.004692,             0.96161,             0.99087,             0.98951,             0.87813,           0.0069523,           0.0023163,          0.00046145,            0.002557,            0.002557,            0.002557
                  85,            0.015096,           0.0090949,           0.0039906,             0.96741,             0.98705,             0.98808,             0.88075,           0.0064016,           0.0023165,          0.00043186,           0.0024948,           0.0024948,           0.0024948
                  86,            0.014955,           0.0090634,           0.0043111,             0.96339,             0.99164,             0.98776,             0.87358,           0.0064385,           0.0022826,          0.00043655,            0.002436,            0.002436,            0.002436
                  87,            0.015692,           0.0090678,           0.0046689,             0.96929,             0.98667,             0.98444,             0.87369,           0.0065298,           0.0022839,          0.00045741,           0.0023807,           0.0023807,           0.0023807
                  88,            0.014788,           0.0086078,           0.0039626,             0.96802,             0.98836,             0.98756,             0.88154,           0.0064222,           0.0022313,          0.00043983,            0.002329,            0.002329,            0.002329
                  89,            0.015509,           0.0090752,           0.0045637,             0.96648,             0.98786,             0.98701,              0.8773,           0.0065176,           0.0023087,          0.00044883,           0.0022809,           0.0022809,           0.0022809
                  90,            0.016358,           0.0090507,           0.0047064,             0.96956,             0.98958,             0.98699,             0.88248,           0.0066787,           0.0022494,          0.00044896,           0.0022365,           0.0022365,           0.0022365
                  91,            0.015906,           0.0090201,           0.0041763,             0.96544,              0.9905,              0.9874,             0.88329,           0.0064969,           0.0022986,          0.00041039,           0.0021958,           0.0021958,           0.0021958
                  92,             0.01483,           0.0086437,           0.0049083,             0.96375,             0.98776,             0.98886,             0.87969,            0.006336,           0.0022925,          0.00040474,           0.0021588,           0.0021588,           0.0021588
                  93,            0.015423,           0.0088767,           0.0044896,             0.95845,             0.98352,             0.98747,             0.88225,           0.0064514,           0.0022874,           0.0004031,           0.0021257,           0.0021257,           0.0021257
                  94,            0.015027,           0.0091794,           0.0040265,             0.96991,             0.98475,             0.98868,             0.88255,           0.0065859,           0.0022186,          0.00040491,           0.0020963,           0.0020963,           0.0020963
                  95,            0.015073,            0.009049,           0.0042381,             0.97055,             0.99028,              0.9877,             0.88339,           0.0062267,           0.0022731,          0.00043783,           0.0020709,           0.0020709,           0.0020709
                  96,            0.014917,           0.0089126,           0.0047138,             0.96948,             0.98635,             0.98802,             0.88822,           0.0063327,           0.0022423,          0.00038915,           0.0020492,           0.0020492,           0.0020492
                  97,            0.015217,            0.008921,           0.0046558,             0.95883,             0.98797,             0.98729,             0.88348,           0.0063258,           0.0022801,          0.00041584,           0.0020315,           0.0020315,           0.0020315
                  98,             0.01443,           0.0087669,           0.0042726,             0.97233,             0.98938,               0.988,             0.88756,           0.0064964,           0.0022163,          0.00045344,           0.0020178,           0.0020178,           0.0020178
                  99,            0.014718,           0.0086599,           0.0045012,             0.96722,             0.99033,             0.98825,             0.88479,           0.0064839,            0.002259,           0.0004438,           0.0020079,           0.0020079,           0.0020079
